0: f-arabic:	[388: f-mandarin (0.85486436092)]	[214: f-german (0.853046371361)]	[466: f-portuguese (0.852571603814)]	[443: m-polish (0.851850352364)]	[266: m-italian (0.849391917444)]	[655: m-spanish (0.848949883933)]	[514: f-russian (0.847720781125)]	[38: m-arabic (0.847177913415)]	[173: f-french (0.84676065418)]	[401: m-mandarin (0.844714583698)]	
159: f-french:	[316: f-korean (0.900477815356)]	[155: f-french (0.89476150657)]	[157: f-french (0.889215263609)]	[402: m-mandarin (0.88847298099)]	[162: f-french (0.886734240296)]	[468: f-portuguese (0.885908984785)]	[464: f-portuguese (0.884065245316)]	[499: f-russian (0.884030698619)]	[219: f-german (0.88324200313)]	[564: f-spanish (0.883108645752)]	
160: f-french:	[500: f-russian (0.839082868815)]	[54: m-arabic (0.836373068935)]	[257: m-italian (0.835985988001)]	[409: m-mandarin (0.83269710417)]	[162: f-french (0.827817428212)]	[288: f-japanese (0.826052892783)]	[499: f-russian (0.822495171555)]	[238: m-german (0.822052125975)]	[90: f-cantonese (0.82157204835)]	[557: f-spanish (0.821075626808)]	
161: f-french:	[273: m-italian (0.81269063247)]	[456: f-portuguese (0.809755795744)]	[403: m-mandarin (0.798107178472)]	[475: m-portuguese (0.797265328587)]	[620: m-spanish (0.79725469838)]	[95: f-cantonese (0.793130419427)]	[446: m-polish (0.788248578465)]	[560: f-spanish (0.78522951821)]	[152: f-french (0.783634933002)]	[413: m-mandarin (0.78308774934)]	
162: f-french:	[305: f-korean (0.913970811647)]	[464: f-portuguese (0.913215370886)]	[686: f-turkish (0.91225347987)]	[219: f-german (0.911120308156)]	[356: f-macedonian (0.910686413452)]	[502: f-russian (0.906543179355)]	[398: f-mandarin (0.905925077176)]	[117: f-dutch (0.90323608367)]	[118: f-dutch (0.901850895854)]	[13: f-arabic (0.900866982597)]	
163: f-french:	[14: f-arabic (0.917617972671)]	[157: f-french (0.907762334801)]	[502: f-russian (0.90241565347)]	[118: f-dutch (0.901736925346)]	[519: f-russian (0.901505306477)]	[282: f-japanese (0.900966852049)]	[287: f-japanese (0.90050030257)]	[108: f-dutch (0.900174292647)]	[507: f-russian (0.898828925253)]	[564: f-spanish (0.896819593989)]	
164: f-french:	[392: f-mandarin (0.925625254232)]	[581: f-spanish (0.925464825854)]	[432: f-polish (0.924078755167)]	[219: f-german (0.918625379476)]	[356: f-macedonian (0.915906643446)]	[502: f-russian (0.91499819277)]	[124: f-dutch (0.913999662023)]	[117: f-dutch (0.911557722899)]	[376: f-mandarin (0.909596985138)]	[462: f-portuguese (0.909295493133)]	
165: f-french:	[167: f-french (0.892519181625)]	[265: m-italian (0.889057111324)]	[214: f-german (0.88632319723)]	[125: f-dutch (0.881602397455)]	[564: f-spanish (0.879854167547)]	[507: f-russian (0.878858822734)]	[193: m-french (0.878416670835)]	[246: f-italian (0.878351316583)]	[2: f-arabic (0.877532424458)]	[468: f-portuguese (0.875659407203)]	
166: f-french:	[130: f-dutch (0.933994964743)]	[251: f-italian (0.933675306802)]	[111: f-dutch (0.929356285043)]	[112: f-dutch (0.92717307525)]	[21: f-arabic (0.926735425904)]	[688: m-turkish (0.923783602552)]	[650: m-spanish (0.920433751387)]	[187: m-french (0.917749489608)]	[353: f-macedonian (0.916680388638)]	[599: m-spanish (0.915275751683)]	
167: f-french:	[114: f-dutch (0.915858414352)]	[540: m-russian (0.911237263725)]	[343: f-macedonian (0.910899219818)]	[650: m-spanish (0.908489573533)]	[577: f-spanish (0.90795268409)]	[687: f-turkish (0.907005625661)]	[468: f-portuguese (0.907002171452)]	[515: f-russian (0.906611172145)]	[108: f-dutch (0.9042355086)]	[588: f-spanish (0.904118136812)]	
168: f-french:	[384: f-mandarin (0.869590504948)]	[169: f-french (0.858696229572)]	[383: f-mandarin (0.853441226247)]	[578: f-spanish (0.852692686805)]	[515: f-russian (0.850653690469)]	[464: f-portuguese (0.84957459306)]	[387: f-mandarin (0.843402230707)]	[191: m-french (0.842888307113)]	[507: f-russian (0.842626248009)]	[468: f-portuguese (0.841902127626)]	
169: f-french:	[564: f-spanish (0.913711314748)]	[191: m-french (0.913378133706)]	[279: f-japanese (0.912152827355)]	[356: f-macedonian (0.911056745618)]	[307: f-korean (0.90902906345)]	[112: f-dutch (0.906911784345)]	[572: f-spanish (0.904104348989)]	[129: f-dutch (0.902474637208)]	[552: f-spanish (0.902473628539)]	[425: f-polish (0.901043201633)]	
170: f-french:	[149: m-dutch (0.900405818572)]	[265: m-italian (0.894967591525)]	[507: f-russian (0.890464580148)]	[88: f-cantonese (0.883603608532)]	[468: f-portuguese (0.880087564746)]	[447: m-polish (0.878378539173)]	[398: f-mandarin (0.877736229069)]	[405: m-mandarin (0.876640615879)]	[366: f-mandarin (0.87633243985)]	[218: f-german (0.875072631734)]	
171: f-french:	[392: f-mandarin (0.925434061324)]	[317: f-korean (0.923136352751)]	[390: f-mandarin (0.9191859531)]	[425: f-polish (0.918591252638)]	[281: f-japanese (0.917132894279)]	[468: f-portuguese (0.91550980009)]	[543: f-spanish (0.914931374689)]	[21: f-arabic (0.914755440282)]	[187: m-french (0.91463909686)]	[346: f-macedonian (0.914194206924)]	
172: f-french:	[94: f-cantonese (0.911825073929)]	[447: m-polish (0.909579421565)]	[370: f-mandarin (0.901540877571)]	[425: f-polish (0.898818041121)]	[112: f-dutch (0.897867653552)]	[308: f-korean (0.896940775408)]	[352: f-macedonian (0.896121646162)]	[251: f-italian (0.892584284823)]	[396: f-mandarin (0.892302641034)]	[105: f-dutch (0.889439586716)]	
173: f-french:	[220: f-german (0.887803197281)]	[551: f-spanish (0.886549053052)]	[2: f-arabic (0.876241427713)]	[453: f-portuguese (0.873502192069)]	[515: f-russian (0.87262273413)]	[11: f-arabic (0.870921725471)]	[221: f-german (0.86898432696)]	[261: m-italian (0.868278907556)]	[514: f-russian (0.865247546633)]	[265: m-italian (0.86252628528)]	
174: f-french:	[317: f-korean (0.924175610605)]	[203: m-french (0.923992277429)]	[93: f-cantonese (0.923082756353)]	[86: f-cantonese (0.922980983933)]	[520: f-russian (0.922947459318)]	[632: m-spanish (0.921740333689)]	[187: m-french (0.91875196603)]	[415: m-mandarin (0.918366475844)]	[157: f-french (0.918328127691)]	[119: f-dutch (0.916191428586)]	
175: f-french:	[520: f-russian (0.941562409041)]	[157: f-french (0.94057669137)]	[108: f-dutch (0.935084999464)]	[183: m-french (0.934409258976)]	[502: f-russian (0.9310668466)]	[86: f-cantonese (0.929869022912)]	[119: f-dutch (0.929752835869)]	[650: m-spanish (0.929384166684)]	[74: m-arabic (0.929301936568)]	[181: m-french (0.929278377195)]	
176: f-french:	[109: f-dutch (0.863691007024)]	[60: m-arabic (0.862897911351)]	[570: f-spanish (0.862890199699)]	[502: f-russian (0.862199443091)]	[381: f-mandarin (0.85909897751)]	[177: f-french (0.858006738571)]	[578: f-spanish (0.857479217761)]	[10: f-arabic (0.856896625701)]	[601: m-spanish (0.855222530598)]	[455: f-portuguese (0.854281694973)]	
177: f-french:	[563: f-spanish (0.893777697593)]	[193: m-french (0.88382361935)]	[13: f-arabic (0.872917196231)]	[455: f-portuguese (0.869143512484)]	[65: m-arabic (0.865182951263)]	[528: m-russian (0.864477883068)]	[12: f-arabic (0.86445846034)]	[505: f-russian (0.863211806941)]	[367: f-mandarin (0.863198608169)]	[152: f-french (0.859064481818)]	
178: f-french:	[308: f-korean (0.911663300265)]	[116: f-dutch (0.911311695706)]	[517: f-russian (0.909390400704)]	[593: f-spanish (0.902819943669)]	[94: f-cantonese (0.89920879398)]	[632: m-spanish (0.897031842608)]	[317: f-korean (0.896990398484)]	[402: m-mandarin (0.896904469575)]	[356: f-macedonian (0.895381291323)]	[108: f-dutch (0.893501814841)]	
179: m-french:	[538: m-russian (0.841568827624)]	[689: m-turkish (0.832962598145)]	[54: m-arabic (0.828022964064)]	[598: m-spanish (0.824626156748)]	[340: m-korean (0.820920061647)]	[77: m-arabic (0.819978604165)]	[618: m-spanish (0.814710086543)]	[294: m-japanese (0.814580177094)]	[418: m-mandarin (0.813763258311)]	[240: m-german (0.811375934021)]	
180: m-french:	[281: f-japanese (0.924809229158)]	[425: f-polish (0.917571962558)]	[79: m-arabic (0.9156717851)]	[25: f-arabic (0.914866793654)]	[123: f-dutch (0.913559432494)]	[455: f-portuguese (0.912924130243)]	[564: f-spanish (0.912291475876)]	[687: f-turkish (0.911713186415)]	[196: m-french (0.911315649454)]	[15: f-arabic (0.910978935367)]	
181: m-french:	[108: f-dutch (0.948930751849)]	[356: f-macedonian (0.937857430748)]	[203: m-french (0.935207292346)]	[564: f-spanish (0.935097721795)]	[157: f-french (0.932669480576)]	[468: f-portuguese (0.932116991471)]	[520: f-russian (0.930538867121)]	[342: f-macedonian (0.930316513869)]	[502: f-russian (0.929563924147)]	[175: f-french (0.929278377195)]	
182: m-french:	[372: f-mandarin (0.818054368221)]	[310: f-korean (0.795654870122)]	[201: m-french (0.795455944888)]	[513: f-russian (0.792217807978)]	[28: f-arabic (0.785369878634)]	[392: f-mandarin (0.783360650456)]	[319: f-korean (0.778943974914)]	[575: f-spanish (0.776200468372)]	[109: f-dutch (0.775514127463)]	[401: m-mandarin (0.775108096551)]	
183: m-french:	[93: f-cantonese (0.94666555902)]	[203: m-french (0.944733327019)]	[74: m-arabic (0.94248417906)]	[119: f-dutch (0.941071617934)]	[656: m-spanish (0.940895330211)]	[604: m-spanish (0.940629532576)]	[91: f-cantonese (0.940346113958)]	[106: f-dutch (0.940081887274)]	[157: f-french (0.93964902332)]	[362: m-macedonian (0.936264941994)]	
184: m-french:	[451: m-polish (0.912203353693)]	[520: f-russian (0.907940582285)]	[432: f-polish (0.905610965316)]	[157: f-french (0.905296535818)]	[286: f-japanese (0.904296916469)]	[502: f-russian (0.90245970895)]	[9: f-arabic (0.89887466058)]	[534: m-russian (0.897597646947)]	[356: f-macedonian (0.897304680095)]	[180: m-french (0.89614122343)]	
185: m-french:	[144: m-dutch (0.825041464972)]	[449: m-polish (0.818611059881)]	[90: f-cantonese (0.818546268255)]	[30: m-arabic (0.808683791429)]	[598: m-spanish (0.807877720585)]	[611: m-spanish (0.803531159467)]	[638: m-spanish (0.801666227948)]	[54: m-arabic (0.797284169418)]	[623: m-spanish (0.795936992263)]	[661: m-spanish (0.79505283044)]	
186: m-french:	[294: m-japanese (0.865408118719)]	[605: m-spanish (0.859156959079)]	[57: m-arabic (0.833084673187)]	[474: m-portuguese (0.831016210525)]	[642: m-spanish (0.830711010128)]	[99: m-cantonese (0.830485424207)]	[657: m-spanish (0.828575977767)]	[75: m-arabic (0.827516275151)]	[698: m-turkish (0.826418193113)]	[290: m-japanese (0.82341842097)]	
187: m-french:	[308: f-korean (0.938971900924)]	[130: f-dutch (0.936359517334)]	[415: m-mandarin (0.935254306557)]	[111: f-dutch (0.934474879937)]	[112: f-dutch (0.932367677139)]	[572: f-spanish (0.931030225433)]	[344: f-macedonian (0.928328696684)]	[116: f-dutch (0.928078863947)]	[356: f-macedonian (0.927425777356)]	[203: m-french (0.926141384074)]	
188: m-french:	[257: m-italian (0.862206277032)]	[698: m-turkish (0.860180512686)]	[77: m-arabic (0.854816767029)]	[473: m-portuguese (0.849509883412)]	[417: m-mandarin (0.849489814938)]	[477: m-portuguese (0.833477607137)]	[663: m-spanish (0.832945239031)]	[456: f-portuguese (0.832628946352)]	[571: f-spanish (0.830638642189)]	[375: f-mandarin (0.828700546453)]	
189: m-french:	[598: m-spanish (0.807519466334)]	[179: m-french (0.806200269669)]	[622: m-spanish (0.803118717423)]	[64: m-arabic (0.801521633389)]	[204: m-french (0.789675037962)]	[614: m-spanish (0.78470480714)]	[47: m-arabic (0.784485663963)]	[479: m-portuguese (0.781613228039)]	[290: m-japanese (0.778244708879)]	[77: m-arabic (0.775355171006)]	
190: m-french:	[37: m-arabic (0.891255390471)]	[96: m-cantonese (0.86110768529)]	[11: f-arabic (0.859459499017)]	[45: m-arabic (0.859422453308)]	[601: m-spanish (0.850803163414)]	[610: m-spanish (0.846897009411)]	[505: f-russian (0.846805655801)]	[588: f-spanish (0.845306410527)]	[367: f-mandarin (0.844447678211)]	[51: m-arabic (0.843419108068)]	
191: m-french:	[425: f-polish (0.916220003004)]	[564: f-spanish (0.916164563956)]	[502: f-russian (0.9145245282)]	[169: f-french (0.913378133706)]	[572: f-spanish (0.910299377682)]	[426: f-polish (0.910122947552)]	[88: f-cantonese (0.909370819554)]	[111: f-dutch (0.907415632458)]	[398: f-mandarin (0.906356469108)]	[279: f-japanese (0.905383024907)]	
192: m-french:	[294: m-japanese (0.824908287002)]	[75: m-arabic (0.823352800342)]	[539: m-russian (0.803743194689)]	[705: m-turkish (0.802726942122)]	[703: m-turkish (0.794023909455)]	[524: m-russian (0.79366590507)]	[418: m-mandarin (0.792031878852)]	[484: m-portuguese (0.790375946619)]	[360: m-macedonian (0.787980353117)]	[377: f-mandarin (0.78797556389)]	
193: m-french:	[295: m-japanese (0.895869567856)]	[670: m-spanish (0.892250330171)]	[177: f-french (0.88382361935)]	[109: f-dutch (0.883055007622)]	[159: f-french (0.882526173175)]	[310: f-korean (0.87944172701)]	[316: f-korean (0.878615901659)]	[383: f-mandarin (0.878520706809)]	[165: f-french (0.878416670835)]	[370: f-mandarin (0.878285087587)]	
194: m-french:	[528: m-russian (0.90333767267)]	[468: f-portuguese (0.903148249551)]	[265: m-italian (0.901507874546)]	[507: f-russian (0.895215349107)]	[191: m-french (0.89388465183)]	[564: f-spanish (0.893571895415)]	[181: m-french (0.8934689557)]	[502: f-russian (0.893455800667)]	[108: f-dutch (0.892174850358)]	[425: f-polish (0.890572509402)]	
195: m-french:	[633: m-spanish (0.865236625591)]	[443: m-polish (0.838828894635)]	[142: m-dutch (0.836947516487)]	[275: f-japanese (0.832765062509)]	[23: f-arabic (0.826230510019)]	[54: m-arabic (0.822698117417)]	[364: m-macedonian (0.821111383746)]	[3: f-arabic (0.814851264683)]	[257: m-italian (0.810317964291)]	[68: m-arabic (0.809399669127)]	
196: m-french:	[511: f-russian (0.922212956703)]	[94: f-cantonese (0.915252025117)]	[317: f-korean (0.911565989755)]	[180: m-french (0.911315649454)]	[279: f-japanese (0.90925836069)]	[684: f-turkish (0.907848707629)]	[120: f-dutch (0.907242022687)]	[425: f-polish (0.905059713471)]	[451: m-polish (0.904058486623)]	[502: f-russian (0.903602224526)]	
197: m-french:	[539: m-russian (0.791607415165)]	[75: m-arabic (0.788724541844)]	[267: m-italian (0.785192361298)]	[268: m-italian (0.783436893907)]	[669: m-spanish (0.781264977775)]	[44: m-arabic (0.77741821981)]	[411: m-mandarin (0.776935431426)]	[400: m-mandarin (0.776057896609)]	[198: m-french (0.774823406328)]	[524: m-russian (0.773963753886)]	
198: m-french:	[400: m-mandarin (0.835637574927)]	[666: m-spanish (0.825961875158)]	[55: m-arabic (0.821489794137)]	[416: m-mandarin (0.81949631153)]	[503: f-russian (0.812010131803)]	[478: m-portuguese (0.808422661571)]	[521: m-russian (0.803152289214)]	[75: m-arabic (0.803045763317)]	[669: m-spanish (0.799615337972)]	[29: m-arabic (0.794000754857)]	
199: m-french:	[83: f-cantonese (0.869226707281)]	[43: m-arabic (0.86845097379)]	[681: f-turkish (0.865988653098)]	[375: f-mandarin (0.856965693141)]	[170: f-french (0.854243390276)]	[570: f-spanish (0.853650612083)]	[533: m-russian (0.852102471017)]	[373: f-mandarin (0.850832944375)]	[309: f-korean (0.850208730085)]	[557: f-spanish (0.849877127377)]	
200: m-french:	[310: f-korean (0.858466590132)]	[28: f-arabic (0.846744476024)]	[648: m-spanish (0.846417619268)]	[367: f-mandarin (0.83366469702)]	[498: f-russian (0.833203553683)]	[315: f-korean (0.825001218309)]	[193: m-french (0.822631601716)]	[214: f-german (0.822071824571)]	[170: f-french (0.822045516357)]	[155: f-french (0.821844256575)]	
201: m-french:	[138: m-dutch (0.887864724681)]	[557: f-spanish (0.886307360594)]	[280: f-japanese (0.886253123861)]	[117: f-dutch (0.881003234905)]	[372: f-mandarin (0.875977894452)]	[398: f-mandarin (0.873757097617)]	[477: m-portuguese (0.870180216404)]	[601: m-spanish (0.870016379272)]	[392: f-mandarin (0.869609692852)]	[553: f-spanish (0.869279389512)]	
202: m-french:	[29: m-arabic (0.848682706216)]	[133: m-dutch (0.829641101413)]	[619: m-spanish (0.807290752851)]	[654: m-spanish (0.793629620084)]	[698: m-turkish (0.792462606864)]	[39: m-arabic (0.790101808862)]	[55: m-arabic (0.782442549161)]	[339: m-korean (0.779798653531)]	[533: m-russian (0.775748802068)]	[521: m-russian (0.774202752853)]	
203: m-french:	[415: m-mandarin (0.948741664232)]	[93: f-cantonese (0.948431570119)]	[157: f-french (0.947346712517)]	[183: m-french (0.944733327019)]	[656: m-spanish (0.943642007836)]	[480: m-portuguese (0.941642437334)]	[362: m-macedonian (0.938268667908)]	[433: f-polish (0.938080013679)]	[74: m-arabic (0.937561632572)]	[678: f-turkish (0.937545244794)]	
204: m-french:	[492: m-portuguese (0.848156944572)]	[584: f-spanish (0.837569598653)]	[159: f-french (0.833827226595)]	[77: m-arabic (0.832569377841)]	[37: m-arabic (0.831715366638)]	[208: m-french (0.82770215507)]	[618: m-spanish (0.821700417979)]	[514: f-russian (0.819661413882)]	[64: m-arabic (0.816332556099)]	[608: m-spanish (0.814603366895)]	
205: m-french:	[274: f-japanese (0.876444077826)]	[193: m-french (0.873838440303)]	[511: f-russian (0.863982082714)]	[24: f-arabic (0.860743602662)]	[125: f-dutch (0.851758193476)]	[595: f-spanish (0.850976732998)]	[699: m-turkish (0.85042891343)]	[606: m-spanish (0.846799343883)]	[280: f-japanese (0.846632470276)]	[110: f-dutch (0.844788192501)]	
206: m-french:	[646: m-spanish (0.805935046813)]	[294: m-japanese (0.803181647702)]	[474: m-portuguese (0.79511973025)]	[98: m-cantonese (0.793771355453)]	[57: m-arabic (0.792358739821)]	[531: m-russian (0.791733340003)]	[444: m-polish (0.790636987298)]	[539: m-russian (0.78867171824)]	[598: m-spanish (0.787567108388)]	[99: m-cantonese (0.787020345301)]	
207: m-french:	[73: m-arabic (0.868647817185)]	[50: m-arabic (0.851634771565)]	[598: m-spanish (0.849644627664)]	[404: m-mandarin (0.828237290943)]	[476: m-portuguese (0.823235981006)]	[240: m-german (0.818872212149)]	[90: f-cantonese (0.817740941937)]	[619: m-spanish (0.811546278963)]	[532: m-russian (0.807775691744)]	[339: m-korean (0.807526295669)]	
208: m-french:	[664: m-spanish (0.833941841485)]	[204: m-french (0.82770215507)]	[101: m-cantonese (0.823618756599)]	[77: m-arabic (0.818198788561)]	[294: m-japanese (0.816359416909)]	[57: m-arabic (0.815609614513)]	[230: m-german (0.814043869457)]	[418: m-mandarin (0.813379981183)]	[492: m-portuguese (0.811291443618)]	[633: m-spanish (0.810792127963)]	
209: m-french:	[373: f-mandarin (0.850086882541)]	[606: m-spanish (0.847588842256)]	[401: m-mandarin (0.847011474525)]	[11: f-arabic (0.844972138494)]	[10: f-arabic (0.833246076583)]	[173: f-french (0.833006909504)]	[372: f-mandarin (0.83263659156)]	[190: m-french (0.829914854359)]	[464: f-portuguese (0.829016655389)]	[48: m-arabic (0.826764188205)]	
210: f-german:	[22: f-arabic (0.915274176603)]	[88: f-cantonese (0.911294119224)]	[552: f-spanish (0.90939134338)]	[279: f-japanese (0.902201490647)]	[166: f-french (0.900982158852)]	[459: f-portuguese (0.900159400537)]	[187: m-french (0.900147963198)]	[652: m-spanish (0.899610571925)]	[460: f-portuguese (0.897948811525)]	[191: m-french (0.89732102815)]	
211: f-german:	[513: f-russian (0.839383955118)]	[414: m-mandarin (0.835226498389)]	[670: m-spanish (0.83463430044)]	[655: m-spanish (0.833962051824)]	[33: m-arabic (0.829472333082)]	[193: m-french (0.828765261233)]	[30: m-arabic (0.821913126373)]	[514: f-russian (0.820156253624)]	[506: f-russian (0.817912440846)]	[473: m-portuguese (0.817055078178)]	
212: f-german:	[342: f-macedonian (0.912095437043)]	[9: f-arabic (0.902257817134)]	[534: m-russian (0.900844921643)]	[433: f-polish (0.896415787142)]	[108: f-dutch (0.896192730862)]	[124: f-dutch (0.895947905802)]	[251: f-italian (0.895926674859)]	[356: f-macedonian (0.89480604365)]	[485: m-portuguese (0.892137525966)]	[572: f-spanish (0.891403662218)]	
213: f-german:	[181: m-french (0.913388437646)]	[351: f-macedonian (0.907742738635)]	[507: f-russian (0.903999260062)]	[175: f-french (0.900710554264)]	[108: f-dutch (0.900190896369)]	[398: f-mandarin (0.899150379002)]	[130: f-dutch (0.899029766022)]	[551: f-spanish (0.898160076049)]	[342: f-macedonian (0.896775901975)]	[348: f-macedonian (0.896445794443)]	
214: f-german:	[251: f-italian (0.904987764075)]	[397: f-mandarin (0.899878349447)]	[334: m-korean (0.898749226437)]	[123: f-dutch (0.896425074812)]	[593: f-spanish (0.892636561737)]	[564: f-spanish (0.892551338804)]	[181: m-french (0.891829955391)]	[315: f-korean (0.89164371902)]	[427: f-polish (0.889514495541)]	[125: f-dutch (0.88937595764)]	
215: f-german:	[22: f-arabic (0.909203797531)]	[356: f-macedonian (0.905987912701)]	[345: f-macedonian (0.900016690494)]	[88: f-cantonese (0.899543715827)]	[507: f-russian (0.899327489539)]	[36: m-arabic (0.89141526979)]	[218: f-german (0.887369610302)]	[459: f-portuguese (0.887342926184)]	[588: f-spanish (0.88560395635)]	[392: f-mandarin (0.885452634012)]	
216: f-german:	[425: f-polish (0.905851932972)]	[398: f-mandarin (0.899841663073)]	[129: f-dutch (0.897722646869)]	[699: m-turkish (0.893144569774)]	[251: f-italian (0.892871173802)]	[218: f-german (0.891727891292)]	[593: f-spanish (0.891379386225)]	[28: f-arabic (0.889477530178)]	[122: f-dutch (0.886372763361)]	[676: f-turkish (0.885159573691)]	
217: f-german:	[572: f-spanish (0.899204352214)]	[220: f-german (0.891605508167)]	[564: f-spanish (0.889555024421)]	[551: f-spanish (0.887033791415)]	[181: m-french (0.885494886575)]	[356: f-macedonian (0.883741831418)]	[427: f-polish (0.882203432525)]	[426: f-polish (0.882105222603)]	[251: f-italian (0.881997290544)]	[398: f-mandarin (0.881557778419)]	
218: f-german:	[287: f-japanese (0.921815935675)]	[684: f-turkish (0.918029318164)]	[451: m-polish (0.915130673371)]	[22: f-arabic (0.913718513278)]	[462: f-portuguese (0.913687955579)]	[564: f-spanish (0.910346241711)]	[599: m-spanish (0.90612375321)]	[187: m-french (0.905567645287)]	[88: f-cantonese (0.905563812827)]	[219: f-german (0.902756448649)]	
219: f-german:	[251: f-italian (0.922345897004)]	[164: f-french (0.918625379476)]	[433: f-polish (0.914940287623)]	[392: f-mandarin (0.913371596274)]	[564: f-spanish (0.913094622712)]	[162: f-french (0.911120308156)]	[81: m-arabic (0.91038666844)]	[554: f-spanish (0.909634954936)]	[684: f-turkish (0.909566934413)]	[347: f-macedonian (0.908904744192)]	
220: f-german:	[2: f-arabic (0.914009511108)]	[22: f-arabic (0.908130210958)]	[356: f-macedonian (0.902554625803)]	[398: f-mandarin (0.902023505097)]	[551: f-spanish (0.899922810261)]	[425: f-polish (0.896953505268)]	[468: f-portuguese (0.893446591599)]	[520: f-russian (0.893065307559)]	[162: f-french (0.892795341185)]	[263: m-italian (0.892573304826)]	
221: f-german:	[471: f-portuguese (0.880959552118)]	[370: f-mandarin (0.879663077122)]	[167: f-french (0.878838376093)]	[128: f-dutch (0.875338955877)]	[398: f-mandarin (0.874189504774)]	[515: f-russian (0.869417884558)]	[173: f-french (0.86898432696)]	[425: f-polish (0.866261896345)]	[687: f-turkish (0.863557027942)]	[551: f-spanish (0.862626037077)]	
222: f-german:	[100: m-cantonese (0.953018828743)]	[690: m-turkish (0.952565451581)]	[243: m-german (0.94981392186)]	[656: m-spanish (0.949786255747)]	[362: m-macedonian (0.948904734106)]	[328: m-korean (0.946770866104)]	[255: m-italian (0.946179635155)]	[415: m-mandarin (0.946000539921)]	[242: m-german (0.945385594414)]	[440: m-polish (0.944929371463)]	
223: f-german:	[512: f-russian (0.919003739631)]	[396: f-mandarin (0.917932791639)]	[632: m-spanish (0.917276711655)]	[527: m-russian (0.91678127809)]	[573: f-spanish (0.916341169358)]	[94: f-cantonese (0.915721973454)]	[415: m-mandarin (0.915076455582)]	[425: f-polish (0.913455788589)]	[251: f-italian (0.912981795178)]	[123: f-dutch (0.912341715436)]	
224: f-german:	[401: m-mandarin (0.863177683439)]	[385: f-mandarin (0.851133618554)]	[620: m-spanish (0.838825376253)]	[280: f-japanese (0.836658000349)]	[671: m-spanish (0.835108683849)]	[450: m-polish (0.834418171257)]	[665: m-spanish (0.831212151738)]	[424: f-polish (0.830417497128)]	[158: f-french (0.829330729582)]	[214: f-german (0.828698145058)]	
225: f-german:	[688: m-turkish (0.928558837957)]	[415: m-mandarin (0.927389760733)]	[112: f-dutch (0.926476648386)]	[145: m-dutch (0.924938428147)]	[572: f-spanish (0.924721555153)]	[650: m-spanish (0.921854571681)]	[632: m-spanish (0.919109810936)]	[592: f-spanish (0.918216676979)]	[543: f-spanish (0.918148578771)]	[356: f-macedonian (0.91777992438)]	
226: f-german:	[36: m-arabic (0.867542935525)]	[455: f-portuguese (0.866160154882)]	[6: f-arabic (0.861311546807)]	[118: f-dutch (0.861237355193)]	[162: f-french (0.858361723889)]	[12: f-arabic (0.849698007711)]	[5: f-arabic (0.849196192976)]	[28: f-arabic (0.846511196136)]	[561: f-spanish (0.84518870849)]	[473: m-portuguese (0.843260709489)]	
227: f-german:	[502: f-russian (0.90749650006)]	[6: f-arabic (0.900142374766)]	[380: f-mandarin (0.898465254235)]	[228: f-german (0.893493408512)]	[426: f-polish (0.892906061428)]	[451: m-polish (0.888206189641)]	[468: f-portuguese (0.887723494254)]	[305: f-korean (0.886820949189)]	[194: m-french (0.88585032474)]	[108: f-dutch (0.88286658718)]	
228: f-german:	[502: f-russian (0.899539573266)]	[557: f-spanish (0.898186560004)]	[465: f-portuguese (0.896727775956)]	[6: f-arabic (0.896602944717)]	[367: f-mandarin (0.895611439038)]	[157: f-french (0.894421880126)]	[227: f-german (0.893493408512)]	[286: f-japanese (0.8920468421)]	[46: m-arabic (0.884624746474)]	[376: f-mandarin (0.883382976015)]	
229: f-german:	[502: f-russian (0.933198578719)]	[17: f-arabic (0.90380236515)]	[247: f-italian (0.902296903966)]	[118: f-dutch (0.90125272436)]	[601: m-spanish (0.900844407084)]	[684: f-turkish (0.900424185108)]	[348: f-macedonian (0.899838364868)]	[447: m-polish (0.899740886531)]	[181: m-french (0.897581858248)]	[117: f-dutch (0.896460947921)]	
230: m-german:	[606: m-spanish (0.870506093421)]	[506: f-russian (0.845761674751)]	[134: m-dutch (0.843625455168)]	[419: m-mandarin (0.841778217292)]	[57: m-arabic (0.838043591143)]	[418: m-mandarin (0.837719801168)]	[365: m-macedonian (0.837413693096)]	[689: m-turkish (0.836176924645)]	[24: f-arabic (0.835998930468)]	[296: m-japanese (0.835522377404)]	
231: m-german:	[243: m-german (0.978451813185)]	[690: m-turkish (0.975818936524)]	[242: m-german (0.975592178637)]	[362: m-macedonian (0.975061962248)]	[100: m-cantonese (0.974747742906)]	[656: m-spanish (0.970134667037)]	[440: m-polish (0.968314985781)]	[328: m-korean (0.966144346294)]	[255: m-italian (0.965666979251)]	[679: f-turkish (0.959819263713)]	
232: m-german:	[698: m-turkish (0.830144767204)]	[54: m-arabic (0.813428908778)]	[416: m-mandarin (0.81280469843)]	[57: m-arabic (0.807775943413)]	[142: m-dutch (0.804028980555)]	[29: m-arabic (0.803921998659)]	[97: m-cantonese (0.801831068606)]	[294: m-japanese (0.799431417038)]	[661: m-spanish (0.798896148107)]	[533: m-russian (0.798586509255)]	
